1,1,3,1,5,9,2,2,0.94282,0.80885,1.9167,3.6822,6.2571,2.8733,4.4952,0,0,-1
1,2,3,1,4,6,2,1,0.59833,0.66059,0.90117,2.3997,4.83,1.5016,3.0619,40,40,-1
1,3,3,1,5,6,2,2,0.65954,0.67661,1.3898,3.707,5.0226,2.0519,4.387,40,80,-1
1,4,3,1,5,6,2,2,0.34177,0.73643,0.5927,1.6533,3.4221,0.93915,2.3925,40,120,-1
2,1,3,1,4,6,2,1,0.2686,1.0019,0.75462,1.7884,4.3485,1.0252,2.7921,40,160,-1
2,2,3,1,4,7,2,1,0.36099,0.62457,1.6353,3.8897,6.5337,1.998,4.5161,20,180,-1
2,3,3,1,4,7,2,1,0.35582,0.73444,0.62969,1.5117,2.8955,0.98725,2.248,20,200,-1
2,4,3,1,5,6,2,2,0.31746,0.4637,1.1114,3.319,4.5065,1.4325,3.7848,40,240,-1
2,5,3,1,5,6,2,2,0.38365,0.57956,1.8161,4.0027,5.7127,2.2016,4.5844,40,280,-1
3,1,1,1,4,7,2,1,1.2453,0.74991,0.78846,3.9142,5.6952,2.0359,4.6686,0,280,6
3,2,1,1,2,8,1,1,0.73679,0.68995,1.6819,3.0845,5.157,2.4217,3.7765,10,290,8
3,3,1,1,4,7,2,1,0.62426,0.65947,1.7421,3.8635,5.8704,2.3682,4.5246,0,290,6
3,4,1,1,2,8,1,1,0.74407,0.54599,1.5406,3.9751,5.7778,2.2869,4.5253,10,300,8
3,5,1,1,2,7,1,1,0.5302,0.5382,1.2734,3.2914,4.8794,1.8075,3.8315,0,300,8
4,1,2,1,2,8,1,1,0.72429,0.48391,1.4456,3.397,4.7433,2.1731,3.8831,10,310,8
4,2,2,1,4,6,2,1,0.64631,0.61353,0.97745,3.5032,5.0291,1.6257,4.1185,40,350,6
4,3,2,1,2,7,1,1,0.73378,1.0563,1.4167,3.1188,4.8271,2.1524,4.177,0,350,8
4,4,2,1,2,8,1,1,0.79279,0.48279,1.906,3.5771,5.3689,2.7008,4.0617,10,360,8
4,5,2,1,4,7,2,1,0.77886,0.58335,1.5288,2.8853,4.1403,2.3116,3.4725,0,360,6
5,1,1,1,4,7,2,1,0.62924,0.59902,0.71483,2.6093,5.0689,1.3469,3.21,0,360,6
5,2,1,1,2,7,1,1,0.80417,0.54343,0.55726,3.2383,5.5148,1.3642,3.7848,0,360,8
5,3,1,1,2,7,1,1,0.79,1.2374,1.8407,4.6224,6.4736,2.6326,5.862,20,380,7
5,4,1,1,4,7,2,1,0.88994,0.77462,1.2946,3.787,6.5489,2.1863,4.5665,20,400,7
6,1,3,1,4,6,2,1,0.6964,0.79655,1.4856,3.9399,5.8469,2.1847,4.7385,40,440,-1
6,2,3,1,4,7,2,1,0.5676,0.70213,1.7587,3.6384,5.3036,2.3293,4.3438,20,460,-1
6,3,3,1,5,6,2,2,0.52941,0.51875,1.16,2.3675,3.9173,1.6917,2.8878,40,500,-1
6,4,3,1,4,7,2,1,0.67704,0.70811,1.9392,3.5488,5.4092,2.6193,4.2593,20,520,-1
6,5,3,1,5,9,2,2,0.55662,0.52441,1.9865,3.873,5.1131,2.546,4.3998,0,520,-1
6,6,3,1,4,6,2,1,0.37881,0.57272,2.0115,4.2362,6.0263,2.3931,4.8116,40,560,-1
7,1,2,1,2,8,1,1,0.73027,0.78911,1.4794,3.4551,5.3445,2.2116,4.2466,0,560,7
7,2,2,1,5,9,2,1,0.54606,0.49154,1.4378,3.5991,5.9766,1.9856,4.0955,0,560,7
7,3,2,1,2,7,1,1,0.68731,0.49639,1.4033,2.8527,4.7696,2.0925,3.3529,0,560,8
7,4,2,1,4,6,2,1,0.5054,0.56104,1.4731,3.298,5.4635,1.9808,3.861,40,600,6
7,5,2,1,3,8,1,1,0.74866,1.1425,0.67181,2.0779,4.4025,1.4234,3.2229,10,610,8
7,6,2,1,3,7,1,2,1.0713,0.98897,1.2886,3.2447,5.7989,2.3627,4.2354,20,630,7
8,1,4,1,4,7,2,1,0.37086,0.55608,0.61285,2.7697,3.8619,0.98563,3.3307,20,650,-1
8,2,4,1,5,9,2,2,0.41353,0.53283,1.4155,3.0459,4.5886,1.8322,3.5814,0,650,-1
8,3,4,1,4,7,2,1,0.33665,0.54402,1.6903,3.6329,5.6133,2.0293,4.1793,20,670,-1
8,4,4,1,4,7,2,1,0.46228,0.61964,0.79875,2.184,3.462,1.2629,2.8054,20,690,-1
8,5,4,1,4,7,2,1,0.57031,0.55787,1.3757,3.4352,5.9376,1.9479,3.9948,20,710,-1
9,1,2,1,4,6,2,1,0.71452,0.73529,0.69028,2.918,4.8003,1.4065,3.6551,40,750,6
9,2,2,1,3,8,1,1,0.79739,0.70339,1.4329,3.1468,5.3486,2.232,3.8602,10,760,8
9,3,2,1,5,6,2,2,0.45328,0.50743,1.4821,3.9481,5.0769,1.9379,4.458,40,800,6
9,4,2,1,3,8,1,1,0.60587,0.46557,1.6563,4.2439,5.3769,2.2638,4.7115,10,810,8
10,1,3,1,3,9,1,1,0.56439,0.60614,1.3001,2.9781,4.6311,1.8663,3.5862,0,810,-1
10,2,3,1,4,6,2,1,0.76712,0.55984,0.73623,3.1604,4.7838,1.5064,3.722,40,850,-1
10,3,3,1,5,6,2,2,0.3368,0.55373,1.616,3.1361,4.6162,1.9551,3.6918,40,890,-1
10,4,3,1,4,6,2,1,0.64529,0.87252,0.80663,2.5614,5.0943,1.4542,3.4369,40,930,-1
10,5,3,1,5,6,2,2,0.62968,0.41158,1.0779,2.7185,4.8075,1.7092,3.134,40,970,-1
11,1,1,1,4,7,2,1,0.45295,0.51275,1.2824,2.5571,4.777,1.7391,3.0728,0,970,6
11,2,1,1,2,7,1,1,0.63791,0.53703,0.67904,2.1251,4.4651,1.3194,2.6639,0,970,8
